algorithm,iterations,functions
MIMIC50,1000,50101
MIMIC50,1000,50101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2000,100101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC50,2500,125101
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,1,601
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,50,10401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,100,20401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,150,30401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,200,40401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,300,60401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,400,80401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,600,120401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,700,140401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,800,160401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,900,180401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
